,index,date,County,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,population
0,243,243,Alameda,77.0,21886.0,4.0,381.0,6296.0,592660,110.0,26223,78.0,21349.0,3.0,383.0,1685886.0
1,244,244,Alameda,60.0,21946.0,2.0,383.0,6977.0,599637,108.0,26331,55.0,21404.0,-1.0,382.0,1685886.0
2,245,245,Alameda,54.0,22000.0,1.0,384.0,3293.0,602930,43.0,26374,106.0,21510.0,4.0,386.0,1685886.0
3,246,246,Alameda,46.0,22046.0,0.0,384.0,1985.0,604915,43.0,26417,87.0,21597.0,-3.0,383.0,1685886.0
4,247,247,Alameda,96.0,22142.0,0.0,384.0,7446.0,612361,119.0,26536,40.0,21637.0,0.0,383.0,1685886.0
5,248,248,Alameda,88.0,22230.0,0.0,384.0,8282.0,620643,125.0,26661,61.0,21698.0,2.0,385.0,1685886.0
6,249,249,Alameda,90.0,22320.0,1.0,385.0,7666.0,628309,104.0,26765,38.0,21736.0,10.0,395.0,1685886.0
7,250,250,Alameda,77.0,22397.0,2.0,387.0,6711.0,635020,103.0,26868,90.0,21826.0,0.0,395.0,1685886.0
8,251,251,Alameda,80.0,22477.0,1.0,388.0,7506.0,642526,120.0,26988,98.0,21924.0,4.0,399.0,1685886.0
9,252,252,Alameda,48.0,22525.0,1.0,389.0,3084.0,645610,48.0,27036,55.0,21979.0,-1.0,398.0,1685886.0
10,253,253,Alameda,50.0,22575.0,1.0,390.0,1743.0,647353,28.0,27064,78.0,22057.0,-6.0,392.0,1685886.0
11,254,254,Alameda,89.0,22664.0,1.0,391.0,7481.0,654834,108.0,27172,69.0,22126.0,-3.0,389.0,1685886.0
12,255,255,Alameda,79.0,22743.0,1.0,392.0,8511.0,663345,96.0,27268,59.0,22185.0,0.0,389.0,1685886.0
13,256,256,Alameda,104.0,22847.0,1.0,393.0,7288.0,670633,141.0,27409,42.0,22227.0,9.0,398.0,1685886.0
14,257,257,Alameda,97.0,22944.0,1.0,394.0,6853.0,677486,147.0,27556,40.0,22267.0,-8.0,390.0,1685886.0
15,258,258,Alameda,68.0,23012.0,0.0,394.0,7352.0,684838,100.0,27656,48.0,22315.0,7.0,397.0,1685886.0
16,259,259,Alameda,54.0,23066.0,0.0,394.0,3490.0,688328,60.0,27716,79.0,22394.0,1.0,398.0,1685886.0
17,260,260,Alameda,46.0,23112.0,0.0,394.0,1919.0,690247,32.0,27748,152.0,22546.0,-6.0,392.0,1685886.0
18,261,261,Alameda,104.0,23216.0,1.0,395.0,8499.0,698746,124.0,27872,101.0,22647.0,0.0,392.0,1685886.0
19,262,262,Alameda,109.0,23325.0,0.0,395.0,8976.0,707722,128.0,28000,103.0,22750.0,-1.0,391.0,1685886.0
20,263,263,Alameda,103.0,23428.0,1.0,396.0,7343.0,715065,102.0,28102,103.0,22853.0,1.0,392.0,1685886.0
21,264,264,Alameda,89.0,23517.0,0.0,396.0,7127.0,722192,105.0,28207,62.0,22915.0,1.0,393.0,1685886.0
22,265,265,Alameda,101.0,23618.0,0.0,396.0,7674.0,729866,125.0,28332,132.0,23047.0,0.0,393.0,1685886.0
23,266,266,Alameda,72.0,23690.0,1.0,397.0,3328.0,733194,63.0,28395,52.0,23099.0,5.0,398.0,1685886.0
24,267,267,Alameda,70.0,23760.0,1.0,398.0,1980.0,735174,41.0,28436,93.0,23192.0,0.0,398.0,1685886.0
25,268,268,Alameda,106.0,23866.0,0.0,398.0,8452.0,743626,132.0,28568,92.0,23284.0,0.0,398.0,1685886.0
26,269,269,Alameda,112.0,23978.0,0.0,398.0,9942.0,753568,136.0,28704,81.0,23365.0,2.0,400.0,1685886.0
27,270,270,Alameda,112.0,24090.0,2.0,400.0,8030.0,761598,118.0,28822,103.0,23468.0,0.0,400.0,1685886.0
28,271,271,Alameda,100.0,24190.0,5.0,405.0,7881.0,769479,130.0,28952,62.0,23530.0,1.0,401.0,1685886.0
29,272,272,Alameda,163.0,24353.0,0.0,405.0,7923.0,777402,141.0,29093,146.0,23676.0,0.0,401.0,1685886.0
30,273,273,Alameda,79.0,24432.0,2.0,407.0,3537.0,780939,78.0,29171,104.0,23780.0,15.0,416.0,1685886.0
31,274,274,Alameda,115.0,24547.0,3.0,410.0,2565.0,783504,50.0,29221,112.0,23892.0,3.0,419.0,1685886.0
32,275,275,Alameda,162.0,24709.0,1.0,411.0,9377.0,792881,175.0,29396,99.0,23991.0,0.0,419.0,1685886.0
33,276,276,Alameda,196.0,24905.0,0.0,411.0,9354.0,802235,186.0,29582,64.0,24055.0,-1.0,418.0,1685886.0
34,277,277,Alameda,184.0,25089.0,1.0,412.0,8156.0,810391,192.0,29774,117.0,24172.0,0.0,418.0,1685886.0
35,278,278,Alameda,178.0,25267.0,1.0,413.0,8231.0,818622,233.0,30007,98.0,24270.0,2.0,420.0,1685886.0
36,279,279,Alameda,178.0,25445.0,2.0,415.0,8138.0,826760,185.0,30192,119.0,24389.0,0.0,420.0,1685886.0
37,280,280,Alameda,132.0,25577.0,0.0,415.0,4107.0,830867,132.0,30324,189.0,24578.0,4.0,424.0,1685886.0
38,281,281,Alameda,110.0,25687.0,2.0,417.0,2571.0,833438,61.0,30385,153.0,24731.0,0.0,424.0,1685886.0
39,282,282,Alameda,228.0,25915.0,0.0,417.0,10359.0,843797,232.0,30617,168.0,24899.0,0.0,424.0,1685886.0
40,283,283,Alameda,249.0,26164.0,0.0,417.0,10457.0,854254,222.0,30839,109.0,25008.0,0.0,424.0,1685886.0
41,284,284,Alameda,230.0,26394.0,0.0,417.0,6666.0,860920,221.0,31060,132.0,25140.0,5.0,429.0,1685886.0
42,285,285,Alameda,242.0,26636.0,4.0,421.0,10473.0,871393,269.0,31329,205.0,25345.0,3.0,432.0,1685886.0
43,286,286,Alameda,267.0,26903.0,3.0,424.0,10071.0,881464,298.0,31627,170.0,25515.0,2.0,434.0,1685886.0
44,287,287,Alameda,216.0,27119.0,2.0,426.0,4860.0,886324,200.0,31827,199.0,25714.0,1.0,435.0,1685886.0
45,288,288,Alameda,266.0,27385.0,1.0,427.0,3115.0,889439,182.0,32009,165.0,25879.0,1.0,436.0,1685886.0
46,289,289,Alameda,320.0,27705.0,2.0,429.0,11804.0,901243,378.0,32387,184.0,26063.0,0.0,436.0,1685886.0
47,290,290,Alameda,347.0,28052.0,1.0,430.0,12310.0,913553,336.0,32723,362.0,26425.0,3.0,439.0,1685886.0
48,291,291,Alameda,324.0,28376.0,1.0,431.0,11853.0,925406,367.0,33090,185.0,26610.0,1.0,440.0,1685886.0
