County,a,b,c,GeneralGovt ,Protection ,PublicAssistance,Health,RoadsFacilitiesSanitation,GDP,MedianHouseholdIncome,NetTaxableAssessed,Felony Probation (2018),Incarcerated from County (2018),Violent Crimes (2018),Property Crimes (2018),Housing Units: Single Family (January 2019),Housing Units: Multi-Family (January 2019),Housing Units: Mobile Homes (January 2019),Migration,Population2020
Alameda,290.2642758,0.03271183,24276.40835,142729681,734875595,729546637,788993563,48899619,1.44E+11,95600,2.92E+11,8336,613,9948,58856,365797,232321,7859,13052,1682353
Amador,100000,0.065033763,305.8762319,7839042,31270379,13511403,10118155,7297468,1864239000,60588,5317153000,250,59,118,596,15545,1310,1423,2180,40474
Butte,11238.19139,0.047766318,3388.612536,28935557,124608779,129736594,86118962,19441773,10332996000,48634,23284221000,1223,361,1214,5824,55404,19294,10749,-14834,211632
Calaveras,4058.540348,0.043621117,355.1002384,16821526,25329062,18615415,14638461,13088903,1642450000,58536,7297573000,233,40,197,860,24871,1068,2271,175,45292
Colusa,100000,0.068271336,516.8316946,5747031,20292266,9264642,9259687,8995769,1721047000,53595,4076114000,145,29,57,365,6153,1244,798,-278,21839
Contra Costa,2955.069659,0.04554609,17630.95756,110554746,474808886,487369590,273256118,54283740,82436416000,95100,2.07E+11,3269,376,3880,27551,309597,99182,7283,10048,1165927
Del Norte,142.1334298,0.030024531,149.6955037,7674783,17938450,22319496,10409945,6118648,1046680000,39996,1857462000,185,52,137,595,7177,1622,2553,342,27743
El Dorado,6177.162937,0.051664215,1149.542759,43870681,122925779,66352282,34749608,41025376,8765718000,78464,33480321000,790,128,475,2864,76620,11242,4125,-663,191185
Fresno,3459.018802,0.049513533,30925.15812,45764000,383305000,930656000,931000,46448000,47408857000,51452,81738201000,8401,1641,5889,27313,234467,84878,14894,-9587,1008654
Glenn,4566.290566,0.049473077,578.6190899,6897282,21891712,22077010,16086675,4448263,1483786000,49979,3310027000,306,33,80,603,8194,1591,1525,-215,28917
Humboldt,84.35537581,0.020260729,874.4034024,27272710,85539372,106662610,64195093,20954283,6817827000,46123,13870459000,971,187,571,3957,44868,12128,6142,1130,136463
Imperial,1611.773856,0.055245923,11464.82877,21549462,103957630,126688905,88806213,21074834,8444865000,43413,12264446000,1457,216,645,4293,37866,12512,7624,-10564,179702
Inyo,100000,0.061435683,198.1731783,12806801,24523008,8643615,9646197,7463051,1346160000,53528,4642511000,271,21,122,394,5863,1081,2588,423,19016
Kern,36566.4152,0.064899006,31306.46139,94018803,560210753,477787759,223499038,26200212,49514180000,49904,89360740000,7330,1376,5289,30268,221655,54959,23060,-7229,909235
Kings,356.2054263,0.03383533,8493.576778,18941230,82401250,88034962,32401144,8439829,6145790000,55076,11100761000,1242,334,784,2701,36010,8397,2007,-1224,152486
Lake,776.4847607,0.030445677,881.555214,12450479,37558632,42071576,17661096,4723234,2423297000,45797,7164525000,582,130,338,1341,23756,2756,7897,3092,68163
Lassen,100000,0.072223235,752.10259,7520602,21988416,15845158,11613626,2560067,1487738000,58776,2343284000,80,52,254,531,9378,1050,2335,2580,32730
Los Angeles,230.9895811,0.034724728,284596.5054,1095439726,5733805818,6343134450,4058518801,332826579,7.87E+11,64900,1.51E+12,83122,10165,58567,237814,1965018,1545580,58300,-239707,10014009
Madera,9601.371157,0.052954014,4602.568408,31661319,77995180,69523097,31657629,11539615,7201526000,50783,14913377000,2815,253,896,2969,41091,5993,3412,-3281,156255
Marin,45879.57551,0.069536922,6392.618179,78835728,177219217,82155696,104201695,21427203,23648191000,112735,78831205000,533,69,528,4694,80104,30298,1992,-558,262321
Mariposa,411.7235828,0.037777166,82.55230912,15712885,23483569,13924792,10174872,4344831,910996000,52387,2424021000,111,16,67,211,7254,838,2397,-937,17131
Mendocino,9808.788497,0.046871357,999.390757,15537236,62676206,68936168,47484705,16274784,4050620000,50453,12086264000,714,138,369,1199,29875,5344,5541,2592,91601
Merced,43224.35424,0.062326372,8923.360894,29691196,142792497,169923495,71183715,9683138,9799550000,48036,24580694000,2815,267,1548,6761,66071,15195,5689,-1726,281202
