date,County,area_type,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,population
243,Alameda,County,77,21886,4,381,6296,592660,110,26223,78,21349,3,383,1685886
244,Alameda,County,60,21946,2,383,6977,599637,108,26331,55,21404,-1,382,1685886
245,Alameda,County,54,22000,1,384,3293,602930,43,26374,106,21510,4,386,1685886
246,Alameda,County,46,22046,0,384,1985,604915,43,26417,87,21597,-3,383,1685886
247,Alameda,County,96,22142,0,384,7446,612361,119,26536,40,21637,0,383,1685886
248,Alameda,County,88,22230,0,384,8282,620643,125,26661,61,21698,2,385,1685886
249,Alameda,County,90,22320,1,385,7666,628309,104,26765,38,21736,10,395,1685886
250,Alameda,County,77,22397,2,387,6711,635020,103,26868,90,21826,0,395,1685886
251,Alameda,County,80,22477,1,388,7506,642526,120,26988,98,21924,4,399,1685886
252,Alameda,County,48,22525,1,389,3084,645610,48,27036,55,21979,-1,398,1685886
253,Alameda,County,50,22575,1,390,1743,647353,28,27064,78,22057,-6,392,1685886
254,Alameda,County,89,22664,1,391,7481,654834,108,27172,69,22126,-3,389,1685886
255,Alameda,County,79,22743,1,392,8511,663345,96,27268,59,22185,0,389,1685886
256,Alameda,County,104,22847,1,393,7288,670633,141,27409,42,22227,9,398,1685886
257,Alameda,County,97,22944,1,394,6853,677486,147,27556,40,22267,-8,390,1685886
258,Alameda,County,68,23012,0,394,7352,684838,100,27656,48,22315,7,397,1685886
259,Alameda,County,54,23066,0,394,3490,688328,60,27716,79,22394,1,398,1685886
260,Alameda,County,46,23112,0,394,1919,690247,32,27748,152,22546,-6,392,1685886
261,Alameda,County,104,23216,1,395,8499,698746,124,27872,101,22647,0,392,1685886
262,Alameda,County,109,23325,0,395,8976,707722,128,28000,103,22750,-1,391,1685886
263,Alameda,County,103,23428,1,396,7343,715065,102,28102,103,22853,1,392,1685886
264,Alameda,County,89,23517,0,396,7127,722192,105,28207,62,22915,1,393,1685886
265,Alameda,County,101,23618,0,396,7674,729866,125,28332,132,23047,0,393,1685886
266,Alameda,County,72,23690,1,397,3328,733194,63,28395,52,23099,5,398,1685886
267,Alameda,County,70,23760,1,398,1980,735174,41,28436,93,23192,0,398,1685886
268,Alameda,County,106,23866,0,398,8452,743626,132,28568,92,23284,0,398,1685886
269,Alameda,County,112,23978,0,398,9942,753568,136,28704,81,23365,2,400,1685886
270,Alameda,County,112,24090,2,400,8030,761598,118,28822,103,23468,0,400,1685886
271,Alameda,County,100,24190,5,405,7881,769479,130,28952,62,23530,1,401,1685886
272,Alameda,County,163,24353,0,405,7923,777402,141,29093,146,23676,0,401,1685886
273,Alameda,County,79,24432,2,407,3537,780939,78,29171,104,23780,15,416,1685886
274,Alameda,County,115,24547,3,410,2565,783504,50,29221,112,23892,3,419,1685886
275,Alameda,County,162,24709,1,411,9377,792881,175,29396,99,23991,0,419,1685886
276,Alameda,County,196,24905,0,411,9354,802235,186,29582,64,24055,-1,418,1685886
277,Alameda,County,184,25089,1,412,8156,810391,192,29774,117,24172,0,418,1685886
278,Alameda,County,178,25267,1,413,8231,818622,233,30007,98,24270,2,420,1685886
279,Alameda,County,178,25445,2,415,8138,826760,185,30192,119,24389,0,420,1685886
280,Alameda,County,132,25577,0,415,4107,830867,132,30324,189,24578,4,424,1685886
281,Alameda,County,110,25687,2,417,2571,833438,61,30385,153,24731,0,424,1685886
282,Alameda,County,228,25915,0,417,10359,843797,232,30617,168,24899,0,424,1685886
283,Alameda,County,249,26164,0,417,10457,854254,222,30839,109,25008,0,424,1685886
284,Alameda,County,230,26394,0,417,6666,860920,221,31060,132,25140,5,429,1685886
285,Alameda,County,242,26636,4,421,10473,871393,269,31329,205,25345,3,432,1685886
286,Alameda,County,267,26903,3,424,10071,881464,298,31627,170,25515,2,434,1685886
287,Alameda,County,216,27119,2,426,4860,886324,200,31827,199,25714,1,435,1685886
288,Alameda,County,266,27385,1,427,3115,889439,182,32009,165,25879,1,436,1685886
289,Alameda,County,320,27705,2,429,11804,901243,378,32387,184,26063,0,436,1685886
290,Alameda,County,347,28052,1,430,12310,913553,336,32723,362,26425,3,439,1685886
291,Alameda,County,324,28376,1,431,11853,925406,367,33090,185,26610,1,440,1685886
292,Alameda,County,262,28638,1,432,12415,937821,342,33432,361,26971,1,441,1685886
293,Alameda,County,345,28983,0,432,12972,950793,393,33825,250,27221,3,444,1685886
294,Alameda,County,211,29194,0,432,6741,957534,237,34062,203,27424,0,444,1685886
295,Alameda,County,184,29378,0,432,3371,960905,131,34193,48,27472,0,444,1685886
296,Alameda,County,434,29812,0,432,15041,975946,486,34679,246,27718,0,444,1685886
297,Alameda,County,412,30224,2,434,12614,988560,408,35087,312,28030,0,444,1685886
298,Alameda,County,478,30702,1,435,10258,998818,554,35641,348,28378,3,447,1685886
299,Alameda,County,216,30918,1,436,1574,1000392,124,35765,419,28797,0,447,1685886
300,Alameda,County,412,31330,1,437,5511,1005903,337,36102,267,29064,3,450,1685886
301,Alameda,County,438,31768,2,439,6442,1012345,480,36582,304,29368,6,456,1685886
