County,date,total_doses,cumulative_total_doses
Alameda,7/27/2020,0,0
Alameda,7/28/2020,0,0
Alameda,7/29/2020,0,0
Alameda,7/30/2020,0,0
Alameda,7/31/2020,0,0
Alameda,8/1/2020,0,0
Alameda,8/2/2020,0,0
Alameda,8/3/2020,0,0
Alameda,8/4/2020,0,0
Alameda,8/5/2020,0,0
Alameda,8/6/2020,0,0
Alameda,8/7/2020,0,0
Alameda,8/8/2020,0,0
Alameda,8/9/2020,0,0
Alameda,8/10/2020,4,4
Alameda,8/11/2020,0,4
Alameda,8/12/2020,1,5
Alameda,8/13/2020,2,7
Alameda,8/14/2020,1,8
Alameda,8/15/2020,1,9
Alameda,8/16/2020,0,9
Alameda,8/17/2020,1,10
Alameda,8/18/2020,1,11
Alameda,8/19/2020,4,15
Alameda,8/20/2020,2,17
Alameda,8/21/2020,1,18
Alameda,8/22/2020,0,18
Alameda,8/23/2020,0,18
Alameda,8/24/2020,0,18
Alameda,8/25/2020,4,22
Alameda,8/26/2020,1,23
Alameda,8/27/2020,3,26
Alameda,8/28/2020,1,27
Alameda,8/29/2020,0,27
Alameda,8/30/2020,0,27
Alameda,8/31/2020,3,30
Alameda,9/1/2020,3,33
Alameda,9/2/2020,3,36
Alameda,9/3/2020,2,38
Alameda,9/4/2020,3,41
Alameda,9/5/2020,0,41
Alameda,9/6/2020,0,41
Alameda,9/7/2020,0,41
Alameda,9/8/2020,2,43
Alameda,9/9/2020,8,51
Alameda,9/10/2020,3,54
Alameda,9/11/2020,3,57
Alameda,9/12/2020,0,57
Alameda,9/13/2020,0,57
Alameda,9/14/2020,0,57
Alameda,9/15/2020,4,61
Alameda,9/16/2020,4,65
Alameda,9/17/2020,2,67
Alameda,9/18/2020,1,68
Alameda,9/19/2020,0,68
Alameda,9/20/2020,0,68
Alameda,9/21/2020,2,70
Alameda,9/22/2020,0,70
Alameda,9/23/2020,2,72
Alameda,9/24/2020,1,73
Alameda,9/25/2020,1,74
Alameda,9/26/2020,0,74
Alameda,9/27/2020,0,74
Alameda,9/28/2020,2,76
Alameda,9/29/2020,1,77
Alameda,9/30/2020,5,82
